SDR:0.0782795 CONVERT:0.000329018 ITER:0 GLOBAL:1.19209e-06 T2SIN:0.000701189 SDR:0.0450854 CONVERT:0.000321627 TIME:0.0461237
ITER:58 GLOBAL:0.145916 T2SIN:7.15256e-06 PILOT_SINH:5.6982e-05 FREQ_PHASE_SINH:8.24928e-05 PFC:3.45707e-05 MAC:2.24113e-05 SEQ:57 DET:56 FR_IN_BUF:13 TIME:0.000247955
ITER:59 GLOBAL:0.146164 T2SIN:6.67572e-06 PILOT_SINH:5.91278e-05 FREQ_PHASE_SINH:8.32081e-05 PFC:3.45707e-05 MAC:2.24113e-05 SEQ:58 DET:57 FR_IN_BUF:14 TIME:0.000254631
ITER:60 GLOBAL:0.146419 T2SIN:7.62939e-06 PILOT_SINH:5.72205e-05 FREQ_PHASE_SINH:7.79629e-05 PFC:3.74317e-05 MAC:2.26498e-05 SEQ:1864 DET:58 FR_IN_BUF:15 TIME:0.000254154
ITER:61 GLOBAL:0.146674 T2SIN:7.62939e-06 PILOT_SINH:5.6982e-05 FREQ_PHASE_SINH:7.89165e-05 PFC:3.43323e-05 MAC:2.24113e-05 SEQ:60 DET:59 FR_IN_BUF:16 TIME:0.000257969
ITER:62 GLOBAL:0.146932 T2SIN:7.62939e-06 PILOT_SINH:5.6982e-05 FREQ_PHASE_SINH:7.84397e-05 PFC:3.48091e-05 MAC:2.28882e-05 SEQ:61 DET:60 FR_IN_BUF:17 TIME:0.00025177
ITER:63 GLOBAL:0.147184 T2SIN:7.39098e-06 PILOT_SINH:5.84126e-05 FREQ_PHASE_SINH:7.96318e-05 PFC:3.79086e-05 MAC:2.36034e-05 SEQ:4020 DET:61 FR_IN_BUF:18 TIME:0.000247717
ITER:64 GLOBAL:0.147432 T2SIN:8.10623e-06 PILOT_SINH:5.91278e-05 FREQ_PHASE_SINH:8.24928e-05 PFC:3.98159e-05 MAC:2.36034e-05 SEQ:50293 DET:62 FR_IN_BUF:19 TIME:0.00026083
ITER:65 GLOBAL:0.147693 T2SIN:1.97887e-05 PILOT_SINH:5.98431e-05 FREQ_PHASE_SINH:8.22544e-05 PFC:4.31538e-05 MAC:2.36034e-05 SEQ:17595 DET:63 FR_IN_BUF:20 TIME:0.00027132
ITER:66 GLOBAL:0.147965 T2SIN:8.58307e-06 PILOT_SINH:5.93662e-05 FREQ_PHASE_SINH:8.67844e-05 PFC:3.91006e-05 MAC:2.36034e-05 SEQ:50363 DET:64 FR_IN_BUF:21 TIME:0.000266552
ITER:67 GLOBAL:0.148232 T2SIN:7.86781e-06 PILOT_SINH:6.10352e-05 FREQ_PHASE_SINH:7.9155e-05 PFC:3.55244e-05 MAC:2.26498e-05 SEQ:66 DET:65 FR_IN_BUF:22 TIME:0.000259638
ITER:68 GLOBAL:0.148492 T2SIN:7.86781e-06 PILOT_SINH:5.67436e-05 FREQ_PHASE_SINH:7.84397e-05 PFC:3.50475e-05 MAC:2.24113e-05 SEQ:67 DET:66 FR_IN_BUF:23 TIME:0.000251055
ITER:69 GLOBAL:0.148743 T2SIN:7.86781e-06 PILOT_SINH:5.65052e-05 FREQ_PHASE_SINH:8.01086e-05 PFC:3.50475e-05 MAC:2.26498e-05 SEQ:68 DET:67 FR_IN_BUF:24 TIME:0.000237465
ITER:70 GLOBAL:0.148981 T2SIN:8.82149e-06 PILOT_SINH:5.67436e-05 FREQ_PHASE_SINH:7.82013e-05 PFC:3.50475e-05 MAC:2.21729e-05 SEQ:69 DET:68 FR_IN_BUF:25 TIME:0.000259876
ITER:71 GLOBAL:0.149241 T2SIN:9.05991e-06 PILOT_SINH:6.41346e-05 FREQ_PHASE_SINH:8.29697e-05 PFC:3.71933e-05 MAC:2.3365e-05 SEQ:14473 DET:69 FR_IN_BUF:26 TIME:0.000255585
ITER:72 GLOBAL:0.149497 T2SIN:1.40667e-05 PILOT_SINH:5.98431e-05 FREQ_PHASE_SINH:8.39233e-05 PFC:3.52859e-05 MAC:2.52724e-05 SEQ:71 DET:70 FR_IN_BUF:27 TIME:0.000259399
ITER:73 GLOBAL:0.149757 T2SIN:8.82149e-06 PILOT_SINH:5.72205e-05 FREQ_PHASE_SINH:7.84397e-05 PFC:3.50475e-05 MAC:2.24113e-05 SEQ:72 DET:71 FR_IN_BUF:28 TIME:0.00025034
ITER:74 GLOBAL:0.150007 T2SIN:3.8147e-06 SDR:0.0407159 CONVERT:0.00036788 TIME:0.0411057
ITER:75 GLOBAL:0.191113 T2SIN:8.82149e-06 PILOT_SINH:9.01222e-05 FREQ_PHASE_SINH:8.7738e-05 PFC:5.53131e-05 MAC:4.17233e-05 SEQ:73 DET:72 FR_IN_BUF:1 TIME:0.000384569
ITER:76 GLOBAL:0.191499 T2SIN:9.53674e-06 PILOT_SINH:6.86646e-05 FREQ_PHASE_SINH:8.22544e-05 PFC:3.91006e-05 MAC:3.12328e-05 SEQ:3209 DET:73 FR_IN_BUF:2 TIME:0.000272989
ITER:77 GLOBAL:0.191772 T2SIN:8.34465e-06 PILOT_SINH:6.22272e-05 FREQ_PHASE_SINH:8.22544e-05 PFC:3.8147e-05 MAC:2.59876e-05 SEQ:2892 DET:74 FR_IN_BUF:3 TIME:0.00026083
ITER:78 GLOBAL:0.192034 T2SIN:6.67572e-06 PILOT_SINH:6.12736e-05 FREQ_PHASE_SINH:8.22544e-05 PFC:4.36306e-05 MAC:2.5034e-05 SEQ:59044 DET:75 FR_IN_BUF:4 TIME:0.000279188
ITER:79 GLOBAL:0.192313 T2SIN:8.10623e-06 PILOT_SINH:6.05583e-05 FREQ_PHASE_SINH:8.2016e-05 PFC:4.02927e-05 MAC:3.02792e-05 SEQ:2760 DET:76 FR_IN_BUF:5 TIME:0.000268459
ITER:80 GLOBAL:0.192582 T2SIN:1.00136e-05 PILOT_SINH:6.07967e-05 FREQ_PHASE_SINH:8.32081e-05 PFC:3.69549e-05 MAC:2.47955e-05 SEQ:78 DET:77 FR_IN_BUF:6 TIME:0.000268459
ITER:81 GLOBAL:0.19285 T2SIN:6.91414e-06 PILOT_SINH:6.1512e-05 FREQ_PHASE_SINH:8.96454e-05 PFC:4.17233e-05 MAC:2.47955e-05 SEQ:45989 DET:78 FR_IN_BUF:7 TIME:0.000292301
